iter	Passed	Remaining
694	2196	963
695	2199	960
696	2203	957
697	2206	954
698	2208	951
699	2211	947
700	2214	944
701	2218	941
702	2222	938
703	2224	935
704	2227	932
705	2231	929
706	2235	926
707	2238	923
708	2241	919
709	2243	916
710	2247	913
711	2251	910
712	2254	907
713	2257	904
714	2260	901
715	2265	898
716	2270	896
717	2272	892
718	2275	889
719	2278	886
720	2282	883
721	2286	880
722	2288	876
723	2291	873
724	2294	870
725	2299	867
726	2303	864
727	2305	861
728	2308	858
729	2311	855
730	2316	852
731	2320	849
732	2322	846
733	2325	842
734	2329	839
735	2334	837
736	2337	834
737	2340	830
738	2345	828
739	2349	825
740	2352	822
741	2355	819
742	2358	815
743	2362	812
744	2364	809
745	2367	805
746	2369	802
747	2373	799
748	2377	796
749	2379	793
750	2383	790
751	2386	786
752	2390	784
753	2392	780
754	2395	777
755	2399	774
756	2402	771
757	2406	768
758	2409	765
759	2411	761
760	2414	758
761	2418	755
762	2422	752
763	2425	749
764	2427	745
765	2430	742
766	2433	739
767	2437	736
768	2441	733
769	2444	730
770	2446	726
771	2448	723
772	2452	720
773	2455	716
774	2458	713
775	2461	710
776	2464	707
777	2469	704
778	2471	701
779	2474	697
780	2477	694
781	2479	691
782	2484	688
783	2487	685
784	2489	681
785	2491	678
786	2494	675
787	2496	671
788	2499	668
789	2502	665
790	2505	661
791	2508	658
792	2511	655
793	2515	652
794	2518	649
795	2521	646
796	2524	643
797	2527	639
798	2530	636
799	2533	633
800	2536	630
801	2539	627
802	2542	623
803	2545	620
804	2548	617
805	2551	614
806	2554	610
807	2558	608
808	2564	605
809	2569	602
810	2573	599
811	2576	596
812	2580	593
813	2583	590
814	2586	587
815	2589	583
816	2591	580
817	2596	577
818	2600	574
819	2604	571
820	2607	568
821	2610	565
822	2614	562
823	2617	559
824	2620	555
825	2622	552
826	2626	549
827	2630	546
828	2633	543
829	2635	539
830	2638	536
831	2640	533
832	2644	530
833	2647	526
834	2649	523
835	2652	520
836	2655	517
837	2658	513
838	2662	510
839	2664	507
840	2667	504
841	2669	501
842	2672	497
843	2676	494
844	2680	491
845	2682	488
846	2686	485
847	2689	482
848	2693	479
849	2697	476
